text,negative_reason
@united flight UA5631 from SFO to Burbank has been delayed twice now. Still no plane in sight. Get it together.,Value For Money
@AmericanAir if this is how you guys work then i will never fly with you guys again.,Ground Service
"&lt;3 &lt;3 RT @SouthwestAir! @danihampton Sorry to hear about the WiFi connection, Dani. Please DM us your conf # so we can help you. Thanks!",Inflight Entertainment
@SouthwestAir flights from sunny SFO delayed for hours and others Cancelled Flightled left and right with little updates. Any help @SouthwestAir?,Value For Money
"@USAirways worst experience with you. Cancelled Flightled flight, no voucher and no luggage because ""ramp was broken."" No other ramps in Charlotte??",Value For Money
@united It is also inappropriate to lie to passengers to induce them into accepting a voucher by telling them you have availability on Late Flightr,Ground Service
@AmericanAir record locator oaaret got email we couldn't be rebooked but got no notification flight was Cancelled Flightled,Value For Money
@united Blackmailed me into paying £130 extra or having my return ticket nullified in San Francisco Airport. Terrible service from rep #scam,Ground Service
@united 5.5 hours Late Flightr I've been in transit for a total of twelve hours...please just change the plane on flight 600 this is ridiculous SFO,Value For Money
"@AmericanAir Been trying to call all day, get hung up on every time. Your guys are horrible!",Ground Service
"@USAirways Can't stress enough how awful the agent was for flight 5283. Knew 11 ppl from delayed flight were on way in mins, no compassion.",Cabin Staff Service
"@USAirways I was calling before I left, and as it turns out @united answered their phones instead and they rebooked my USAir flight.",Ground Service
"@united Call customer service and of course they just say ""theres nothing we can do"" and then offer a transfer and disconnect the line.",Ground Service
@SouthwestAir heyo! What is causing flight 1836 ewr to hou to be delayed?,Value For Money
@AmericanAir flight 3056 still sitting at DFW waiting for baggage to be loaded,Value For Money
@SouthwestAir you are a bunch of liars! Cancelled Flightled our flight and rebooked us four days Late Flightr!,Value For Money
@USAirways refuses to compensate passengers when inconvenienced and wouldn't even rebook me on another airline. #disappointed,Ground Service
@AmericanAir @travisamex please please American call me so I can rebook ticket .,Ground Service
@united I did... no response back,Ground Service
@united can anyone assure me that the aircraft coming to Denver had left it's previous destination? Flight 3618,Value For Money
@USAirways : i was told my ticket expired but  i never recvd any notice  before it expired .This sucks.i paid 40k miles &amp; $125 for the tckt,Ground Service
@USAirways it is just bad practice and I am disappointed that your airline was not prepared...honestly the last time I fly with you guys,Value For Money
"@united worst agents in US at Ft. Lauderdale Airport; passengers stand in line, getting status alerts &amp; still didn't make an announcement",Ground Service
"@united See? We were told repeatedly that the pilot was Late Flight and kept getting Late Flightr.  After we boarded, there was a defibrillator issue.",Value For Money
So @British_Airways checked in a flight at ORD to be told we’ll be fed very little and to buy something proper once we are through security. Get through security to find everything shut as it is closing time. I just had to spend $45 on snacks. This really isn’t good enough.,Food & Beverages
@AmericanAir Filled out a baggage claim over the phone last night. Check the status to discover the rep confused Arkansas for Alaska 😒,Ground Service
@USAirways @AmericanAir won't even refund for a flight they Cancelled Flightled #horriblecustomerservice,Value For Money
.@united Not what's been shared by the pilot with passengers!,Value For Money
@USAirways Your app and website are trash AF.,Ground Service
